"Year","Route","Count"
1998,2,20
1998,3,24
1998,5,24
1998,6,45
1998,9,18
1998,11,14
1998,12,32
1998,13,43
1998,15,20
1998,18,21
1998,19,34
1998,20,19
1998,21,32
1998,22,22
1998,23,28
1998,24,30
1998,25,4
1998,26,54
1998,27,5
1998,28,64
1998,29,12
1998,31,17
1998,32,15
1998,33,53
1998,34,30
1998,35,44
1998,38,30
1998,39,50
1998,41,11
1998,42,25
1998,43,28
1998,46,19
1998,47,14
1998,48,41
1998,49,28
1998,50,20
1998,51,8
1998,55,54
1998,57,45
1998,59,38
1998,60,44
1998,61,44
1998,63,9
1998,64,27
1998,68,50
1998,69,11
1999,2,55
1999,3,30
1999,5,12
1999,6,40
1999,9,12
1999,11,11
1999,12,33
1999,13,34
1999,15,11
1999,16,17
1999,18,16
1999,19,25
1999,20,34
1999,21,11
1999,22,32
1999,23,7
1999,24,4
1999,25,7
1999,26,36
1999,27,15
1999,28,58
1999,29,11
1999,31,23
1999,32,12
1999,33,28
1999,34,14
1999,35,44
1999,38,18
1999,39,44
1999,41,3
1999,46,25
1999,47,17
1999,48,33
1999,49,36
1999,50,22
1999,51,40
1999,55,59
1999,57,45
1999,59,42
1999,60,23
1999,61,110
1999,63,15
1999,64,26
1999,68,68
1999,69,18
2000,2,12
2000,3,33
2000,6,44
2000,9,22
2000,11,17
2000,12,34
2000,13,45
2000,15,16
2000,16,19
2000,18,23
2000,19,22
2000,20,23
2000,21,19
2000,23,13
2000,24,0
2000,26,58
2000,27,19
2000,28,48
2000,29,16
2000,31,26
2000,32,17
2000,33,20
2000,34,36
2000,35,40
2000,38,30
2000,39,40
2000,42,20
2000,43,9
2000,45,11
2000,46,20
2000,47,23
2000,48,23
2000,49,38
2000,50,27
2000,51,34
2000,55,68
2000,57,31
2000,59,21
2000,60,47
2000,61,18
2000,63,26
2000,64,13
2000,68,16
2000,69,20
2001,1,20
2001,2,31
2001,3,25
2001,5,25
2001,6,34
2001,9,11
2001,11,4
2001,12,3
2001,13,13
2001,15,12
2001,16,6
2001,18,6
2001,19,2
2001,20,7
2001,21,5
2001,22,17
2001,23,15
2001,24,1
2001,26,25
2001,27,7
2001,28,75
2001,29,7
2001,31,5
2001,32,7
2001,33,14
2001,35,36
2001,38,14
2001,39,20
2001,41,2
2001,45,7
2001,46,7
2001,47,4
2001,48,25
2001,49,30
2001,50,19
2001,51,7
2001,57,10
2001,59,7
2001,60,5
2001,61,8
2001,63,8
2001,64,9
2001,68,6
2001,69,2
2002,1,29
2002,2,33
2002,3,18
2002,5,7
2002,6,35
2002,9,25
2002,11,4
2002,12,7
2002,13,27
2002,15,11
2002,16,15
2002,18,8
2002,19,8
2002,20,12
2002,21,18
2002,22,25
2002,23,7
2002,24,0
2002,25,4
2002,26,29
2002,27,8
2002,28,71
2002,29,14
2002,31,7
2002,32,13
2002,33,16
2002,37,9
2002,38,3
2002,39,34
2002,41,3
2002,46,8
2002,47,7
2002,48,21
2002,49,31
2002,50,26
2002,51,6
2002,59,8
2002,60,6
2002,61,40
2002,63,8
2002,64,12
2002,68,29
2002,69,5
2003,1,42
2003,2,46
2003,3,27
2003,5,8
2003,6,33
2003,9,30
2003,11,11
2003,12,9
2003,13,24
2003,16,16
2003,18,10
2003,19,16
2003,20,18
2003,21,18
2003,22,25
2003,23,13
2003,24,2
2003,25,12
2003,26,43
2003,27,17
2003,28,96
2003,29,21
2003,31,10
2003,32,14
2003,33,16
2003,35,96
2003,37,13
2003,38,4
2003,39,30
2003,40,23
2003,41,6
2003,46,27
2003,47,5
2003,48,20
2003,49,33
2003,50,29
2003,51,13
2003,54,10
2003,59,15
2003,60,12
2003,61,19
2003,63,10
2003,64,15
2003,68,20
2003,69,17
2004,1,23
2004,2,28
2004,3,40
2004,5,15
2004,6,33
2004,9,33
2004,11,12
2004,12,9
2004,13,28
2004,15,22
2004,16,17
2004,18,15
2004,20,26
2004,22,31
2004,23,11
2004,24,12
2004,25,11
2004,26,15
2004,27,9
2004,29,19
2004,31,7
2004,32,14
2004,33,24
2004,37,12
2004,38,5
2004,39,34
2004,40,21
2004,41,5
2004,46,17
2004,47,5
2004,48,19
2004,49,37
2004,50,17
2004,51,11
2004,60,16
2004,61,18
2004,63,7
2004,64,13
2004,68,20
2004,69,3
2005,1,47
2005,2,40
2005,3,28
2005,5,18
2005,6,32
2005,9,17
2005,11,6
2005,12,19
2005,13,26
2005,15,18
2005,16,18
2005,18,41
2005,19,10
2005,20,21
2005,21,32
2005,22,33
2005,23,20
2005,24,4
2005,27,7
2005,28,110
2005,29,11
2005,31,3
2005,32,11
2005,33,12
2005,35,11
2005,38,8
2005,39,27
2005,40,24
2005,41,1
2005,42,61
2005,43,67
2005,46,10
2005,47,12
2005,48,13
2005,49,45
2005,50,42
2005,51,13
2005,54,12
2005,59,8
2005,60,28
2005,61,58
2005,63,12
2005,64,22
2005,66,22
2005,69,5
2006,1,47
2006,2,29
2006,3,34
2006,4,46
2006,5,18
2006,6,36
2006,7,18
2006,8,53
2006,9,15
2006,10,32
2006,11,15
2006,12,11
2006,13,37
2006,14,88
2006,15,50
2006,16,23
2006,17,53
2006,18,11
2006,19,17
2006,20,14
2006,21,32
2006,22,29
2006,23,14
2006,24,11
2006,25,8
2006,26,47
2006,27,11
2006,28,73
2006,29,24
2006,30,24
2006,31,8
2006,32,5
2006,33,20
2006,34,43
2006,35,24
2006,36,28
2006,37,23
2006,38,3
2006,39,39
2006,40,23
2006,42,36
2006,43,34
2006,44,25
2006,45,44
2006,46,19
2006,47,12
2006,48,23
2006,49,30
2006,50,39
2006,51,29
2006,52,22
2006,53,106
2006,54,5
2006,56,32
2006,57,48
2006,58,18
2006,59,16
2006,60,28
2006,61,19
2006,62,13
2006,63,10
2006,64,22
2006,65,9
2006,66,25
2006,67,39
2006,68,14
2006,69,23
2006,70,25
2007,1,11
2007,2,6
2007,3,20
2007,4,28
2007,5,7
2007,6,29
2007,7,9
2007,8,20
2007,9,12
2007,10,10
2007,11,21
2007,12,23
2007,13,10
2007,14,43
2007,15,11
2007,16,16
2007,17,22
2007,18,13
2007,19,10
2007,20,9
2007,21,6
2007,22,22
2007,23,9
2007,24,8
2007,25,11
2007,26,12
2007,27,13
2007,28,64
2007,29,12
2007,30,9
2007,31,7
2007,32,3
2007,33,18
2007,34,27
2007,35,12
2007,36,10
2007,37,7
2007,38,7
2007,39,15
2007,40,20
2007,41,13
2007,42,31
2007,43,41
2007,44,27
2007,45,20
2007,46,11
2007,47,19
2007,48,20
2007,49,34
2007,50,20
2007,51,20
2007,52,23
2007,53,46
2007,54,0
2007,55,34
2007,56,23
2007,57,35
2007,58,17
2007,59,14
2007,60,18
2007,61,22
2007,62,0
2007,63,11
2007,64,16
2007,65,4
2007,67,31
2007,68,8
2007,69,35
2007,70,9
2008,1,8
2008,2,2
2008,3,43
2008,4,26
2008,5,4
2008,6,46
2008,7,3
2008,8,11
2008,9,7
2008,10,15
2008,11,23
2008,12,10
2008,13,8
2008,14,27
2008,15,19
2008,16,9
2008,17,17
2008,18,20
2008,19,6
2008,20,19
2008,21,9
2008,22,12
2008,23,12
2008,24,12
2008,25,10
2008,26,20
2008,27,0
2008,28,86
2008,29,11
2008,30,13
2008,31,4
2008,32,2
2008,33,6
2008,34,20
2008,35,36
2008,36,20
2008,37,12
2008,38,2
2008,39,13
2008,40,9
2008,41,64
2008,42,23
2008,43,29
2008,44,23
2008,45,14
2008,46,6
2008,47,10
2008,48,12
2008,49,28
2008,50,19
2008,52,25
2008,53,32
2008,54,0
2008,55,43
2008,56,29
2008,57,39
2008,58,7
2008,59,9
2008,60,20
2008,61,16
2008,62,2
2008,63,2
2008,64,12
2008,65,5
2008,66,11
2008,67,28
2008,68,2
2008,69,14
2008,70,10
2009,1,8
2009,2,13
2009,3,25
2009,4,40
2009,5,7
2009,6,29
2009,7,6
2009,8,25
2009,9,12
2009,10,29
2009,11,38
2009,12,15
2009,13,12
2009,14,51
2009,15,17
2009,16,18
2009,17,20
2009,18,13
2009,19,19
2009,20,30
2009,21,14
2009,22,14
2009,23,15
2009,24,6
2009,25,6
2009,26,40
2009,27,11
2009,28,95
2009,29,12
2009,30,19
2009,31,9
2009,32,10
2009,33,18
2009,35,25
2009,36,26
2009,37,21
2009,38,2
2009,39,14
2009,40,18
2009,41,21
2009,42,37
2009,43,38
2009,44,25
2009,45,22
2009,46,13
2009,47,19
2009,48,31
2009,49,28
2009,50,24
2009,51,13
2009,52,44
2009,54,0
2009,55,41
2009,56,30
2009,57,36
2009,58,41
2009,59,15
2009,60,27
2009,61,3
2009,62,1
2009,63,22
2009,64,21
2009,65,2
2009,66,24
2009,67,21
2009,68,30
2009,69,36
2009,70,17
2010,1,36
2010,2,6
2010,3,140
2010,4,44
2010,5,34
2010,6,90
2010,7,10
2010,8,62
2010,9,16
2010,10,34
2010,11,60
2010,12,16
2010,13,36
2010,14,112
2010,15,42
2010,16,20
2010,17,60
2010,18,30
2010,19,36
2010,20,24
2010,21,26
2010,22,40
2010,23,30
2010,24,14
2010,25,42
2010,26,46
2010,27,28
2010,28,102
2010,29,26
2010,30,7
2010,31,24
2010,32,12
2010,33,22
2010,34,20
2010,35,46
2010,36,30
2010,37,36
2010,38,8
2010,39,42
2010,40,42
2010,41,58
2010,42,108
2010,43,128
2010,44,38
2010,45,26
2010,46,26
2010,47,24
2010,48,30
2010,49,50
2010,50,42
2010,51,22
2010,52,22
2010,53,60
2010,54,0
2010,55,82
2010,56,72
2010,57,58
2010,58,17
2010,59,24
2010,60,90
2010,61,38
2010,62,26
2010,63,26
2010,64,50
2010,65,8
2010,66,78
2010,67,44
2010,68,32
2010,69,34
2010,70,38
2010,72,34
2011,1,24
2011,2,2
2011,3,40
2011,4,14
2011,5,9
2011,6,29
2011,7,8
2011,8,26
2011,9,4
2011,10,18
2011,11,25
2011,12,7
2011,13,22
2011,14,62
2011,15,24
2011,16,18
2011,17,26
2011,18,18
2011,19,17
2011,20,2
2011,21,8
2011,22,22
2011,23,13
2011,24,2
2011,25,15
2011,26,15
2011,27,7
2011,28,71
2011,29,25
2011,30,2
2011,31,21
2011,32,6
2011,33,8
2011,34,7
2011,35,24
2011,36,5
2011,37,14
2011,38,7
2011,39,21
2011,40,17
2011,41,13
2011,42,4
2011,43,13
2011,44,19
2011,45,15
2011,46,12
2011,47,10
2011,48,11
2011,49,25
2011,50,39
2011,51,20
2011,52,23
2011,53,49
2011,54,0
2011,55,42
2011,56,33
2011,57,31
2011,58,6
2011,59,11
2011,60,19
2011,61,21
2011,62,17
2011,63,18
2011,64,17
2011,65,0
2011,66,47
2011,67,12
2011,68,6
2011,69,18
2011,70,18
2011,72,11
2012,1,14
2012,2,3
2012,3,20
2012,4,19
2012,5,6
2012,6,19
2012,7,9
2012,8,36
2012,9,5
2012,10,2
2012,11,27
2012,12,18
2012,13,27
2012,14,69
2012,15,23
2012,16,26
2012,17,23
2012,18,87
2012,19,15
2012,20,8
2012,21,4
2012,22,35
2012,23,16
2012,24,6
2012,25,16
2012,26,64
2012,27,14
2012,28,22
2012,29,29
2012,30,14
2012,31,18
2012,32,7
2012,33,22
2012,34,49
2012,35,27
2012,36,8
2012,37,19
2012,38,19
2012,39,27
2012,40,22
2012,41,36
2012,42,16
2012,43,13
2012,44,26
2012,45,10
2012,46,25
2012,47,13
2012,48,28
2012,49,36
2012,50,19
2012,51,24
2012,52,15
2012,53,26
2012,54,0
2012,55,39
2012,56,21
2012,57,33
2012,58,30
2012,59,47
2012,60,39
2012,61,28
2012,62,4
2012,63,9
2012,64,23
2012,65,1
2012,66,26
2012,67,32
2012,68,20
2012,69,23
2012,70,21
2012,71,0
2012,72,2
2012,73,31
2012,74,3
2013,1,48
2013,2,3
2013,3,21
2013,4,9
2013,5,9
2013,6,40
2013,7,9
2013,8,24
2013,9,6
2013,10,2
2013,11,26
2013,12,13
2013,13,21
2013,14,55
2013,15,39
2013,16,26
2013,18,15
2013,19,1
2013,20,0
2013,21,6
2013,23,8
2013,24,0
2013,25,18
2013,26,35
2013,27,16
2013,28,7
2013,29,10
2013,30,1
2013,31,10
2013,32,8
2013,33,10
2013,34,25
2013,35,5
2013,36,5
2013,37,10
2013,38,10
2013,39,32
2013,40,18
2013,41,11
2013,42,19
2013,43,27
2013,44,30
2013,45,23
2013,46,18
2013,47,2
2013,48,15
2013,49,32
2013,50,1
2013,51,15
2013,52,8
2013,53,11
2013,54,1
2013,55,36
2013,56,27
2013,57,37
2013,59,5
2013,60,8
2013,61,27
2013,62,1
2013,63,5
2013,64,19
2013,65,0
2013,66,17
2013,67,5
2013,68,13
2013,69,25
2013,70,30
2013,71,1
2013,72,0
2013,73,6
2013,74,5
2014,1,20
2014,2,4
2014,3,41
2014,4,23
2014,5,9
2014,6,39
2014,7,12
2014,8,37
2014,9,8
2014,10,19
2014,11,34
2014,12,49
2014,13,20
2014,14,64
2014,15,39
2014,16,25
2014,17,32
2014,18,11
2014,19,8
2014,20,6
2014,21,17
2014,22,24
2014,23,10
2014,24,0
2014,25,7
2014,26,76
2014,27,9
2014,28,14
2014,29,14
2014,30,3
2014,31,3
2014,32,5
2014,34,21
2014,35,14
2014,36,9
2014,37,11
2014,38,8
2014,39,28
2014,40,19
2014,41,27
2014,42,54
2014,43,76
2014,44,38
2014,45,13
2014,47,10
2014,48,11
2014,49,29
2014,50,5
2014,51,17
2014,52,14
2014,53,20
2014,54,1
2014,55,40
2014,56,23
2014,57,26
2014,58,11
2014,59,26
2014,60,25
2014,61,21
2014,62,1
2014,63,9
2014,64,15
2014,65,0
2014,66,34
2014,67,24
2014,68,19
2014,69,29
2014,70,30
2014,71,1
2014,72,2
2014,73,15
2015,1,40
2015,2,4
2015,3,45
2015,4,17
2015,5,18
2015,6,49
2015,7,23
2015,8,52
2015,9,5
2015,10,41
2015,11,29
2015,12,35
2015,13,16
2015,14,77
2015,15,26
2015,16,34
2015,17,48
2015,18,35
2015,19,12
2015,20,44
2015,21,5
2015,22,45
2015,23,7
2015,24,3
2015,25,0
2015,26,45
2015,27,17
2015,28,32
2015,29,30
2015,30,6
2015,31,28
2015,32,6
2015,33,20
2015,34,20
2015,35,24
2015,36,10
2015,37,36
2015,38,4
2015,39,41
2015,40,28
2015,41,30
2015,42,119
2015,43,116
2015,44,33
2015,45,23
2015,46,21
2015,47,31
2015,48,22
2015,49,40
2015,50,16
2015,51,14
2015,52,3
2015,53,37
2015,54,8
2015,55,51
2015,56,56
2015,57,44
2015,58,25
2015,59,28
2015,60,14
2015,61,40
2015,62,2
2015,63,16
2015,64,39
2015,65,0
2015,66,21
2015,67,18
2015,68,19
2015,69,35
2015,70,21
2015,71,4
2015,72,26
2015,73,36
2016,1,28
2016,2,12
2016,3,40
2016,4,34
2016,5,14
2016,6,42
2016,7,20
2016,8,52
2016,9,7
2016,10,49
2016,11,30
2016,12,42
2016,13,24
2016,14,104
2016,15,29
2016,16,33
2016,17,40
2016,18,49
2016,19,26
2016,20,52
2016,21,25
2016,22,47
2016,23,4
2016,24,15
2016,25,23
2016,26,29
2016,27,29
2016,28,60
2016,29,29
2016,30,2
2016,31,26
2016,32,6
2016,33,60
2016,34,37
2016,35,23
2016,36,54
2016,37,19
2016,38,18
2016,39,40
2016,40,25
2016,41,36
2016,42,146
2016,43,115
2016,44,22
2016,45,27
2016,46,61
2016,47,38
2016,48,41
2016,49,42
2016,50,33
2016,51,33
2016,52,58
2016,53,44
2016,54,5
2016,55,44
2016,56,53
2016,57,45
2016,58,32
2016,59,22
2016,60,32
2016,61,24
2016,62,0
2016,63,19
2016,64,32
2016,65,4
2016,66,46
2016,68,22
2016,69,35
2016,70,36
2016,71,5
2016,72,40
2016,73,57
2017,1,46
2017,2,14
2017,3,50
2017,4,43
2017,5,12
2017,6,57
2017,7,29
2017,8,65
2017,9,13
2017,10,46
2017,11,49
2017,12,54
2017,13,30
2017,14,102
2017,15,33
2017,16,38
2017,17,50
2017,18,57
2017,19,47
2017,21,20
2017,22,50
2017,23,13
2017,24,13
2017,25,31
2017,26,33
2017,27,40
2017,28,45
2017,29,20
2017,30,4
2017,31,27
2017,32,4
2017,33,12
2017,34,20
2017,35,57
2017,36,37
2017,37,28
2017,38,23
2017,39,27
2017,40,21
2017,41,28
2017,42,34
2017,43,29
2017,44,32
2017,46,13
2017,47,28
2017,48,55
2017,49,55
2017,50,49
2017,51,53
2017,52,75
2017,53,50
2017,54,11
2017,55,57
2017,56,60
2017,57,53
2017,58,41
2017,59,32
2017,60,36
2017,61,33
2017,62,0
2017,63,31
2017,64,56
2017,65,4
2017,66,44
2017,67,14
2017,68,30
2017,69,55
2017,70,38
2017,71,9
2017,72,42
2017,73,71
